2023-01-18 13:23:58 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getStartups is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:23:58 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getEvents is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:23:58 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getLayout is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:23:58 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getModules is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:23:58 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getModule is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:23:58 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getTheme is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:23:58 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getBanner is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:23:58 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$resize is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:23:58 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getTranslations is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
2023-01-18 13:23:58 - PHP Unknown:  Creation of dynamic property Opencart\System\Engine\Proxy::$getProduct is deprecated in C:\xampp\htdocs\opencart\upload\system\engine\proxy.php on line 35
